attack_type,stream,src_mac,dst_mac,src_ip,dst_ip,src_port,dst_port,device_mac,eth_src_oui,eth_dst_oui
Benign,7461,3c:18:a0:41:c3:a0,Wyze Camera,8.8.4.4,192.168.137.227,53,37617,Wyze Camera,Luxshare Precision Industry Company Limited,Wyze Labs Inc
Benign,39,HeimVision SmartLife Radio/Lamp,ff:ff:ff:ff:ff:ff,192.168.137.136,255.255.255.255,49549,6667,HeimVision SmartLife Radio/Lamp,Tuya Smart Inc.,Broadcast
Benign,31,3c:18:a0:41:c3:a0,56:4f:8a:e1:f3:2d,17.57.147.6,192.168.137.51,5223,64086,3c:18:a0:41:c3:a0,Luxshare Precision Industry Company Limited,none
Benign,568,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,3.248.22.187,56028,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,908,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.30.25.100,192.168.137.175,443,45427,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,906,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,3.248.67.251,45997,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,50,3c:18:a0:41:c3:a0,GoSund Power strip (2),44.235.194.199,192.168.137.159,8886,2705,3c:18:a0:41:c3:a0,Luxshare Precision Industry Company Limited,Espressif Inc.
Benign,672,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.213.240.41,192.168.137.175,443,34403,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,566,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.210.96.251,192.168.137.175,443,40135,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,255,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,99.81.57.97,36660,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,-1,Gosund Power strip (1),ff:ff:ff:ff:ff:ff,,,0,0,Gosund Power strip (1),Espressif Inc.,Broadcast
Benign,598,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.250.33.103,192.168.137.175,443,35231,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,2140,3c:18:a0:41:c3:a0,ac:17:02:05:34:27,157.249.81.141,192.168.137.41,80,54540,ac:17:02:05:34:27,Luxshare Precision Industry Company Limited,Fibar Group sp. z o.o.
